name,transfer_fee,market_value_in_eur,days_left_on_contract,age,position,height_in_cm,is_left_footed,is_tier1_nation,adjusted_goals_season1,adjusted_assists_season1,adjusted_clean_sheet_season1,goals_conceded_per_90_season1,minutes_played_season1,adjusted_goals_season2,adjusted_assists_season2,adjusted_clean_sheet_season2,goals_conceded_per_90_season2,minutes_played_season2,season,to_club_name
Ondrej Duda,7000000.0,7000000.0,1794.0,26,Midfield,180.0,0,0,0.597,1.522,3.0,2.512526843235505,1397.0,10.175,6.147,7.072,1.8534031413612566,2865.0,2020,1.FC Köln
Tete Morente,500000.0,400000.0,2524.0,24,Attack,184.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Elche CF
Pervis Estupiñán,16400000.0,15000000.0,2524.0,22,Defender,175.0,1,0,0.928,6.165,7.424,1.6473459426479562,3278.0,0.0,0.0,0.0,0.0,0.0,2020,Villarreal
Borja García,1500000.0,3200000.0,365.0,30,Midfield,175.0,0,1,0.0,0.0,0.0,0.0,0.0,0.928,3.3810000000000002,7.424,1.6987295825771325,2755.0,2020,SD Huesca
Jhon Córdoba,15000000.0,12000000.0,2524.0,27,Attack,188.0,0,0,12.622,2.447,3.7,2.632311977715877,2154.0,0.0,0.0,0.0,0.0,0.0,2020,Hertha BSC
Vedat Muriqi,21000000.0,12000000.0,2524.0,26,Attack,194.0,1,0,12.57,5.028,3.352,1.5145848915482423,2674.0,14.245999999999999,6.704,8.379999999999999,1.4871116986120292,3026.0,2020,Lazio
Marcos Acuña,11250000.0,12000000.0,2708.0,29,Defender,172.0,1,1,1.744,2.663,7.023,1.4323607427055702,3016.0,0.872,8.445,9.639,0.9823008849557522,3390.0,2020,Sevilla FC
Giuseppe Caso,350000.0,200000.0,1794.0,22,Attack,172.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Genoa
Tom van de Looi,450000.0,425000.0,2524.0,21,Midfield,186.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.852,1.704,2.298850574712644,783.0,2020,Brescia
Ardian Ismajli,2200000.0,950000.0,1794.0,24,Defender,187.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Spezia Calcio
Ante Rebić,6700000.0,32000000.0,1794.0,27,Attack,185.0,0,1,12.662,3.996,3.39,1.7467248908296942,2061.0,8.922,4.894,6.744,2.1121718377088308,2514.0,2020,AC Milan
Norbert Gyömbér,700000.0,500000.0,365.0,28,Defender,189.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Salernitana
Liam Henderson,600000.0,1500000.0,1794.0,24,Midfield,183.0,0,0,0.0,0.0,0.934,1.4285714285714284,315.0,0.0,0.0,0.0,0.0,0.0,2020,Lecce
Loïc Mbe Soh,5000000.0,4500000.0,365.0,19,Defender,187.0,0,1,0.0,0.0,0.0,3.0508474576271185,59.0,0.0,0.0,0.924,1.0,180.0,2020,Nottm Forest
André Silva,3000000.0,24000000.0,1794.0,25,Attack,186.0,0,1,13.488,4.297000000000001,3.978,2.384105960264901,2567.0,9.546000000000001,2.4530000000000003,8.553,1.521662557238464,2839.0,2020,E. Frankfurt
Kenny Tete,3200000.0,5500000.0,1794.0,25,Defender,180.0,0,1,0.0,0.0,2.7720000000000002,2.016597510373444,1205.0,0.0,2.7720000000000002,0.924,1.8780096308186196,1246.0,2020,Fulham
Stephane Omeonga,500000.0,700000.0,1794.0,24,Midfield,177.0,0,1,0.597,0.82,0.82,3.6930091185410334,658.0,0.0,0.82,1.64,3.3877038895859473,797.0,2020,Pescara
Emanuele Valeri,100000.0,250000.0,2524.0,22,Defender,180.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Cremonese
Jan Paul van Hecke,2000000.0,1800000.0,2524.0,20,Defender,189.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Brighton
Ollie Watkins,34000000.0,12000000.0,2890.0,25,Attack,180.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Aston Villa
Oliver Burke,6500000.0,4800000.0,1794.0,23,Attack,188.0,0,0,0.928,1.856,1.856,3.627519110493398,1439.0,3.28,2.014,6.710999999999999,0.44247787610619466,1017.0,2020,Sheff Utd
Jacob Brown,2200000.0,900000.0,2524.0,22,Attack,178.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Stoke City
Jeroen Zoet,1500000.0,5500000.0,2524.0,29,Goalkeeper,189.0,0,1,0.0,0.0,6.99,1.1808510638297873,2820.0,0.0,0.0,14.229,1.0930232558139534,3870.0,2020,Spezia Calcio
Abdoulaye Doucouré,22000000.0,20000000.0,1794.0,27,Midfield,183.0,0,0,4.0,2.0,9.0,1.7903378591727186,3167.0,5.0,6.0,5.0,1.7584369449378332,3378.0,2020,Everton
Yannick Carrasco,27000000.0,22500000.0,2524.0,27,Attack,181.0,0,1,0.928,3.712,1.856,1.6295264623955432,718.0,0.0,0.0,0.0,0.0,0.0,2020,Atlético Madrid
Patrik Schick,26500000.0,25000000.0,2524.0,24,Attack,191.0,1,0,9.25,2.447,4.894,1.8761496014714898,1631.0,3.996,2.465,2.465,2.475644699140401,1745.0,2020,B. Leverkusen
Jamal Lewis,16500000.0,11000000.0,1794.0,22,Defender,178.0,1,0,1.0,0.0,2.0,2.3797282409107603,2723.0,0.0,0.0,0.0,0.0,0.0,2020,Newcastle
Ismaila Coulibaly,2000000.0,100000.0,365.0,20,Midfield,183.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Sheff Utd
Lazar Samardžić,500000.0,1500000.0,1794.0,18,Midfield,184.0,1,0,0.0,0.0,0.0,14.0625,32.0,0.0,0.0,0.0,0.0,0.0,2020,RB Leipzig
Callum Wilson,22250000.0,20000000.0,1794.0,28,Attack,180.0,0,1,8.597,3.0,4.0,1.7779291553133516,2936.0,14.0,10.0,9.0,1.8461538461538463,2535.0,2020,Newcastle
Max Lowe,3850000.0,1600000.0,365.0,23,Defender,175.0,1,1,0.0,0.0,0.0,0.0,0.0,2.237,1.64,7.157,1.2328767123287672,2847.0,2020,Sheff Utd
Jayden Bogle,3850000.0,6300000.0,2890.0,20,Defender,178.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Sheff Utd
Óscar Gil,500000.0,400000.0,2159.0,22,Defender,175.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Espanyol
Fábio Silva,40000000.0,12000000.0,1794.0,18,Attack,185.0,0,1,0.872,0.597,1.4689999999999999,4.811320754716982,318.0,0.0,0.0,0.0,0.0,0.0,2020,Wolves
Bono,4000000.0,3000000.0,2159.0,29,Goalkeeper,195.0,1,1,0.0,0.928,7.56,0.5142857142857142,1575.0,0.0,0.0,7.424,1.3836477987421383,2862.0,2020,Sevilla FC
Gerónimo Rulli,5000000.0,8000000.0,2524.0,28,Goalkeeper,189.0,0,1,0.0,0.0,7.392,1.08,2250.0,0.0,0.0,7.093,1.2413793103448276,2610.0,2020,Villarreal
