Feature 1,Feature 2,Correlation
Passes into penalty area,carries final 3rd,0.21
Progressive Passes,is_tier1_nation,-0.21
Key passes,season,0.21
% Successful take-ons,age,-0.21
adjusted_assists_season1,is_left_footed,0.21
% Medium passes completed,Avg Mins per Match,0.21
% Long passes completed,Matches Played,0.21
Passes Attempted,Passes blocked,0.21
% Long passes completed,Avg Mins per Match,0.21
Progressive Carries,touches_def_pen,0.21
carries_prgc,touches_def_pen,0.21
1/3,days_left_on_contract,0.2
carries final 3rd,goals_conceded_per_90_season1,-0.2
age,goals_conceded_per_90_season2,0.2
% Medium passes completed,Matches Played,0.2
Goal creating actions p 90,Passes Attempted,-0.2
% Short pass completed,Progressive passes distance,0.2
Goal creating actions p 90,touches_def_pen,-0.2
% Penalty saves,height_in_cm,-0.2
Goal creating actions p 90,Progressive passes distance,-0.2
Passes Completed,carries_prgc,0.2
Passes Completed,Progressive Carries,0.2
adjusted_clean_sheet_season2,touches_def_pen,0.2
Passes Attempted,age,-0.2
% Short pass completed,days_left_on_contract,0.2
% Successful take-ons,Tackles Won,0.2
Passes Attempted,days_left_on_contract,0.2
% Dribbles tackled,Interceptions,0.2
Progressive passes distance,days_left_on_contract,0.2
Tackles Won,age,-0.2
% Penalty saves,Clearances,0.2
adjusted_clean_sheet_season2,is_tier1_nation,0.2
Errors made,goals_conceded_per_90_season2,0.2
Goal creating actions p 90,Saves,-0.2
Saves,carries_prgc,0.2
Progressive Carries,Saves,0.2
Pass completion %,Passes into penalty area,-0.2
% Aerial Duels won,Progressive Passes,0.2
Key passes,adjusted_assists_season1,0.19
has_advanced_stats,is_tier1_nation,0.19
Passes Attempted,adjusted_clean_sheet_season2,0.19
Goals & Assists,Key passes,0.19
Assists p 90,Key passes,0.19
minutes_played_season2,transfer_fee,0.19
Progressive passes distance,age,-0.19
% Successful take-ons,is_tier1_nation,-0.19
Possessions lost,days_left_on_contract,0.19
% Successful take-ons,season,-0.19
Errors made,Saves %,0.19
% Aerial Duels won,minutes_played_season2,0.19
% Medium passes completed,Saves,0.19
Passes blocked,Saves %,0.19
Progressive Passes,height_in_cm,-0.19
adjusted_assists_season2,adjusted_clean_sheet_season2,0.19
% Dribbles tackled,Key passes,0.19
adjusted_assists_season2,goals_conceded_per_90_season2,0.19
Progressive Carries,minutes_played_season1,0.19
carries_prgc,minutes_played_season1,0.19
% Dribbles tackled,age,-0.19
Goal creating actions p 90,Passes Completed,-0.19
Times tackled during take-on,adjusted_clean_sheet_season2,-0.19
Goal creating actions p 90,Pass completion %,-0.19
Progressive passes distance,transfer_fee,0.19
% Aerial Duels won,Tackles attempted,0.19
Saves %,season,-0.19
% Medium passes completed,minutes_played_season1,0.19
carries penalty area,transfer_fee,0.19
Shot creating actions p 90,goals_conceded_per_90_season2,0.19
Passes Completed,adjusted_clean_sheet_season2,0.19
% Aerial Duels won,transfer_fee,0.19
% Shots on target,Interceptions,0.19
Interceptions,Total Shots,0.19
Interceptions,Shots p 90,0.19
is_left_footed,season,-0.19
Goal creating actions p 90,adjusted_clean_sheet_season1,-0.19
Pass completion %,transfer_fee,0.19
% Long passes completed,is_left_footed,0.19
Errors made,adjusted_clean_sheet_season1,0.19
age,is_tier1_nation,0.18
Times tackled during take-on,minutes_played_season2,-0.18
adjusted_assists_season1,minutes_played_season1,0.18
Saves,adjusted_assists_season2,0.18
Interceptions,minutes_played_season2,0.18
age,is_left_footed,0.18
Saves %,adjusted_clean_sheet_season2,0.18
Crosses Stopped,Pass completion %,-0.18
Avg Mins per Match,carries final 3rd,0.18
Passes Attempted,goals_conceded_per_90_season2,0.18
Passes into penalty area,adjusted_clean_sheet_season2,0.18
Possessions lost,Saves,0.18
% Medium passes completed,touches_def_pen,0.18
Passes Completed,minutes_played_season2,0.18
Matches Played,carries final 3rd,0.18
Passes blocked,height_in_cm,0.18
Times tackled during take-on,season,0.18
Passes Attempted,minutes_played_season2,0.18
Passes Attempted,Progressive Carries,0.18
Passes Attempted,carries_prgc,0.18
Saves %,Tackles attempted,0.18
% Aerial Duels won,Passes blocked,0.18
1/3,adjusted_clean_sheet_season2,0.18
% Medium passes completed,Clearances,0.18
has_advanced_stats,is_left_footed,0.18
adjusted_assists_season2,minutes_played_season1,0.18
% Penalty saves,% Short pass completed,0.18
% Penalty saves,Tackles attempted,0.18
Avg Mins per Match,adjusted_assists_season1,0.18
Assists p 90,Avg Mins per Match,0.18
Avg Mins per Match,Goals & Assists,0.18
Clearances,Goal creating actions p 90,-0.18
% Successful take-ons,Assists p 90,-0.18
% Successful take-ons,Goals & Assists,-0.18
% Successful take-ons,adjusted_assists_season1,-0.18
Passes blocked,Saves,0.18
% Aerial Duels won,is_tier1_nation,0.18
Clearances,adjusted_assists_season1,0.18
Times tackled during take-on,age,-0.18
Clearances,Goals & Assists,0.18
Assists p 90,Clearances,0.18
adjusted_assists_season1,touches_def_pen,0.18
Matches Played,adjusted_assists_season1,0.18
Goals & Assists,Matches Played,0.18
Assists p 90,Matches Played,0.18
% Penalty saves,days_left_on_contract,0.18
Assists p 90,touches_def_pen,0.17
Goals & Assists,touches_def_pen,0.17
1/3,minutes_played_season2,0.17
% Dribbles tackled,1/3,0.17
% Short pass completed,carries_prgc,0.17
% Short pass completed,Progressive Carries,0.17
Passes into penalty area,height_in_cm,0.17
1/3,Tackles attempted,0.17
Crosses Stopped,transfer_fee,0.17
Saves,age,-0.17
% Penalty saves,Possessions lost,0.17
Saves %,adjusted_assists_season2,0.17
% Short pass completed,adjusted_clean_sheet_season1,0.17
goals_conceded_per_90_season2,touches_def_pen,0.17
Progressive passes distance,goals_conceded_per_90_season2,0.17
Saves,minutes_played_season2,0.17
Crosses Stopped,season,0.17
% Successful take-ons,Passes blocked,0.17
% Dribbles tackled,Saves %,0.17
days_left_on_contract,minutes_played_season1,0.17
Passes blocked,goals_conceded_per_90_season1,-0.17
Pass completion %,Progressive Passes,0.17
Goal creating actions p 90,height_in_cm,0.17
Progressive Passes,Tackles Won,-0.17
Passes blocked,age,-0.17
Take ons attempted,carries final 3rd,0.17
Passes into penalty area,goals_conceded_per_90_season1,-0.17
% Successful take-ons,height_in_cm,0.17
Passes into penalty area,transfer_fee,0.17
Avg Mins per Match,Progressive Carries,0.17
Avg Mins per Match,carries_prgc,0.17
Key passes,Saves %,0.17
Matches Played,carries_prgc,0.17
Matches Played,Progressive Carries,0.17
minutes_played_season2,touches_def_pen,0.17
is_tier1_nation,minutes_played_season2,0.16
% Medium passes completed,Passes Attempted,0.16
Progressive Passes,Saves,0.16
% Successful take-ons,Clearances,0.16
Clearances,Possessions lost,0.16
Pass completion %,Possessions lost,-0.16
adjusted_assists_season1,adjusted_clean_sheet_season1,0.16
Crosses Stopped,is_tier1_nation,-0.16
Progressive passes distance,adjusted_assists_season1,0.16
Assists p 90,Progressive passes distance,0.16
Goals & Assists,Progressive passes distance,0.16
is_left_footed,minutes_played_season2,0.16
% Medium passes completed,Errors made,0.16
% Long passes completed,season,0.16
% Penalty saves,% Successful take-ons,0.16
% Short pass completed,Clearances,0.16
% Aerial Duels won,Tackles Won,0.16
adjusted_assists_season1,transfer_fee,0.16
Goals & Assists,minutes_played_season1,0.16
Assists p 90,minutes_played_season1,0.16
Errors made,Tackles Won,-0.16
% Long passes completed,age,0.16
Tackles attempted,adjusted_assists_season1,0.16
Clearances,adjusted_assists_season2,0.16
Key passes,Progressive Passes,0.16
% Dribbles tackled,% Short pass completed,0.16
Passes blocked,Take ons attempted,0.16
adjusted_assists_season1,goals_conceded_per_90_season2,0.16
Assists p 90,Take ons attempted,-0.16
Goals & Assists,Take ons attempted,-0.16
1/3,Shot creating actions p 90,0.16
Take ons attempted,adjusted_assists_season1,-0.16
Assists p 90,Tackles attempted,0.16
Goals & Assists,Tackles attempted,0.16
Progressive Passes,Tackles attempted,-0.16
Possessions lost,Progressive passes distance,0.16
Assists p 90,Progressive Passes,0.16
Goals & Assists,Progressive Passes,0.16
Progressive Passes,adjusted_assists_season1,0.16
Goal creating actions p 90,age,0.16
% Medium passes completed,Progressive passes distance,0.15
% Long passes completed,is_tier1_nation,-0.15
% Successful take-ons,Saves %,0.15
% Penalty saves,Interceptions,0.15
Pass completion %,is_tier1_nation,-0.15
Passes Attempted,Possessions lost,0.15
% Penalty saves,adjusted_assists_season2,-0.15
% Penalty saves,carries final 3rd,0.15
Passes Completed,days_left_on_contract,0.15
adjusted_clean_sheet_season1,days_left_on_contract,0.15
Possessions lost,touches_def_pen,0.15
Passes blocked,is_tier1_nation,0.15
carries final 3rd,minutes_played_season2,0.15
Passes Completed,goals_conceded_per_90_season1,-0.15
Crosses Stopped,Saves %,-0.15
adjusted_clean_sheet_season2,is_left_footed,0.15
